GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
5350,10125.65,25332.65,35960.49,-27006.11,-239041.79,12164.68,138456.5,-32109.85,1038.28,-44007.93,-31071.57,-75079.5
5360,9997.39,24823.82,36001.36,-26990.03,-239231.5,12281.68,138719.29,-32241.4,1033.85,-44397.97,-31207.55,-75605.52
5370,9920.96,25053.74,35968.54,-27081.36,-239186.3,12215.25,138782.08,-32289.18,1026.17,-44327.09,-31263.01,-75590.1
5380,9880.04,25070.17,36055.48,-27163.57,-238843.29,12189.45,138555.46,-32360.62,1033.17,-44256.25,-31327.45,-75583.7
5390,9839.21,25011.01,35936.84,-27028.21,-238989.55,12307.1,138570.01,-32238.57,1031.86,-44353.61,-31206.72,-75560.32
5400,9980.98,25136.29,36150.47,-27101.16,-238831.91,12237.49,138614.81,-32436.62,1035.38,-43813.04,-31401.24,-75214.27
5410,9929.81,25226.22,36002.49,-27141.46,-238661.24,12195.28,138577.48,-32594.26,1039.07,-43871.42,-31555.19,-75426.6
5420,9889.08,25099.77,36089.25,-27120.28,-239323.73,12281.21,138716.44,-32055.01,1030.41,-44368.26,-31024.59,-75392.85
5430,9887.45,25309.94,36112.64,-27030.03,-238804.32,12239.4,138655.19,-32612.38,1036.9,-43629.74,-31575.48,-75205.22
5440,10013.52,25181.27,35977.67,-27168.63,-238771.27,12198.17,138606.35,-32511.82,1033.36,-43962.91,-31478.46,-75441.37
5450,9968.19,25027.81,36112.08,-26962.58,-239122.75,12188.41,138660.52,-32358.48,1042.15,-44128.32,-31316.32,-75444.65
5460,9882.64,24922.09,36056.63,-27124.47,-238891.25,12179.95,138692.95,-32443.37,1038.91,-44281.45,-31404.46,-75685.91
5470,10168.11,25048.52,35997.73,-27202.81,-239332.03,12289.64,138874.38,-32360.44,1033.48,-44156.47,-31326.96,-75483.42
5480,10048.7,25093.97,36105.13,-27051.61,-239473.97,12247.81,138795.58,-32153.13,1039.86,-44234.39,-31113.27,-75347.66
5490,9881.58,25085.16,36028.98,-27014.36,-239645.61,12344.48,138771.57,-31874.6,1031.91,-44548.2,-30842.69,-75390.89
5500,10004.75,25197.28,36069.2,-27138.97,-239403.24,12242.81,138717.51,-32038.33,1032.06,-44310.65,-31006.27,-75316.92
5510,9896.43,25306.71,36191.49,-27063.38,-239448.74,12272.62,138849.83,-32050.87,1027.87,-43995.04,-31023.01,-75018.04
5520,9999.61,25187.77,35929.01,-27035.18,-239092.5,12253.25,138534.03,-32223.64,1037.14,-44224.0,-31186.5,-75410.5
5530,10040.29,25024.36,36115.1,-27094.31,-239295.05,12295.36,138836.33,-32213.97,1037.24,-44077.92,-31176.73,-75254.65
5540,9942.47,24887.47,35945.49,-27130.29,-238949.6,12305.0,138688.29,-32346.91,1033.18,-44311.17,-31313.73,-75624.9
5550,9993.21,25111.01,36035.34,-27172.01,-238911.84,12234.0,138342.72,-32104.75,1028.22,-44367.56,-31076.53,-75444.09
5560,10122.82,25136.28,36092.26,-26988.99,-239278.97,12188.5,138509.57,-32169.3,1028.82,-44218.54,-31140.48,-75359.02
5570,10008.3,25311.65,36106.08,-27023.42,-239244.65,12272.02,138759.79,-32208.23,1033.98,-43810.23,-31174.25,-74984.48
5580,10014.4,25010.15,36115.05,-27142.24,-239010.22,12194.14,138541.9,-32244.0,1035.6,-44276.83,-31208.4,-75485.23
5590,10047.62,25236.06,36099.0,-27054.39,-239618.41,12231.04,138716.93,-31810.37,1031.95,-44342.15,-30778.42,-75120.57
5600,9911.53,25164.44,36100.79,-27197.59,-239185.28,12263.7,138702.43,-32162.66,1029.95,-44239.98,-31132.72,-75372.7
5610,9900.79,25223.85,36041.5,-27212.02,-239085.84,12073.1,138474.6,-32098.2,1034.99,-44584.02,-31063.21,-75647.23
5620,9966.33,24933.51,36001.17,-27091.91,-239114.27,12247.38,138775.35,-32312.98,1030.48,-44282.43,-31282.5,-75564.94
5630,10143.57,25020.31,36003.2,-26964.09,-238998.96,12233.08,138697.61,-32355.87,1042.54,-43865.28,-31313.33,-75178.61
5640,9963.72,25047.32,35956.98,-27128.67,-239127.13,12278.87,138579.27,-32213.53,1035.45,-44429.64,-31178.08,-75607.72
5650,9888.69,24897.69,35985.59,-27161.48,-238768.98,12296.26,138718.1,-32536.93,1027.34,-44144.14,-31509.6,-75653.74
5660,10140.92,25188.64,36070.48,-27060.0,-238716.03,12212.24,138489.72,-32525.5,1034.34,-43674.03,-31491.16,-75165.19
5670,10024.2,25040.88,36115.1,-27074.91,-238702.69,12175.4,138381.36,-32433.53,1035.04,-44040.66,-31398.49,-75439.15
5680,10048.38,24838.34,36186.12,-27031.93,-238862.79,12319.9,138646.75,-32402.43,1035.76,-43855.23,-31366.67,-75221.9
5690,10010.27,25070.31,36136.07,-27093.6,-239061.39,12277.74,138782.81,-32424.54,1038.32,-43877.79,-31386.22,-75264.01
5700,10001.95,25168.51,36137.33,-27168.79,-238669.97,12241.43,138480.62,-32529.94,1035.63,-43808.93,-31494.31,-75303.24
5710,9811.97,24988.07,36036.37,-27085.65,-239193.21,12231.07,138750.65,-32220.44,1029.41,-44460.73,-31191.03,-75651.76
5720,10076.49,25183.86,36048.01,-27024.44,-239064.39,12216.71,138515.48,-32316.37,1039.81,-44048.27,-31276.57,-75324.84
5730,9872.09,25302.82,36085.62,-27138.4,-238992.72,12304.2,138586.81,-32341.21,1034.11,-43979.58,-31307.1,-75286.68
5740,10138.75,25040.69,36089.44,-26998.98,-239239.84,12248.75,138626.69,-32178.74,1029.48,-44094.51,-31149.26,-75243.77
5750,9971.41,25030.47,36206.33,-27009.69,-239552.75,12222.03,138696.07,-31971.57,1027.35,-44436.12,-30944.22,-75380.34
5760,10117.96,25132.3,36072.78,-27232.51,-239091.97,12219.53,138599.14,-32137.13,1025.27,-44182.77,-31111.86,-75294.63
