GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
2390,4610.09,11908.86,15766.77,-12398.75,-111875.72,5368.02,68889.91,-18646.55,414.08,-17730.82,-18232.47,-35963.29
2400,4600.06,12026.21,15835.6,-12433.82,-112031.39,5404.33,68969.24,-18601.0,416.66,-17629.77,-18184.34,-35814.11
2410,4519.77,11800.84,15726.91,-12360.26,-112219.31,5364.52,69064.83,-18483.97,416.03,-18102.71,-18067.94,-36170.65
2420,4437.77,11897.55,15733.64,-12505.55,-112080.84,5393.16,69181.86,-18618.74,412.19,-17942.4,-18206.54,-36148.94
2430,4488.68,11834.52,15764.2,-12344.65,-112029.25,5380.99,68906.78,-18572.81,417.27,-17998.73,-18155.54,-36154.26
2440,4412.94,11882.29,15752.71,-12439.13,-112092.12,5363.75,69030.34,-18560.31,418.05,-18089.21,-18142.26,-36231.47
2450,4493.36,11927.29,15722.68,-12390.09,-111728.05,5350.09,68945.84,-18856.31,418.75,-17678.88,-18437.56,-36116.45
2460,4461.59,11839.32,15778.9,-12456.17,-111767.62,5367.15,68979.34,-18749.28,415.05,-17797.5,-18334.22,-36131.72
2470,4569.89,11848.24,15787.22,-12450.6,-111858.72,5368.42,68956.87,-18739.99,416.3,-17778.69,-18323.69,-36102.38
2480,4598.03,11895.54,15811.86,-12371.3,-112201.0,5399.84,69144.7,-18566.68,412.43,-17722.33,-18154.25,-35876.58
2490,4455.56,11899.66,15827.68,-12409.39,-112229.05,5387.66,69199.36,-18539.61,416.42,-17868.52,-18123.19,-35991.71
2500,4498.62,11889.55,15717.84,-12394.46,-111852.53,5387.85,69049.57,-18750.36,418.47,-17703.56,-18331.9,-36035.46
2510,4519.69,12055.87,15805.18,-12439.42,-112229.18,5422.03,69031.94,-18496.79,417.33,-17833.87,-18079.46,-35913.33
2520,4541.29,11886.0,15840.76,-12363.21,-112107.23,5370.06,68969.54,-18458.82,417.74,-17862.79,-18041.08,-35903.87
2530,4513.79,11886.17,15776.2,-12221.19,-112358.33,5428.94,69143.49,-18527.48,421.72,-17830.94,-18105.76,-35936.7
2540,4510.56,11897.89,15823.38,-12409.83,-112033.2,5403.36,69158.33,-18652.04,417.34,-17649.51,-18234.7,-35884.21
2550,4472.72,11866.73,15759.92,-12355.53,-111961.59,5388.68,69057.68,-18633.97,418.79,-17771.38,-18215.18,-35986.57
2560,4559.92,12061.48,15795.97,-12465.07,-111834.18,5405.71,68924.79,-18650.07,412.52,-17551.37,-18237.55,-35788.92
2570,4627.45,11893.95,15799.26,-12330.0,-112048.54,5309.4,69063.24,-18737.35,421.72,-17685.25,-18315.63,-36000.88
2580,4569.54,11957.05,15884.05,-12334.57,-112160.83,5374.06,69026.89,-18542.01,417.65,-17683.82,-18124.36,-35808.18
2590,4515.04,11878.87,15729.48,-12342.69,-112009.74,5423.52,69064.82,-18609.31,417.17,-17740.7,-18192.14,-35932.83
2600,4512.59,11896.7,15704.93,-12355.37,-112095.38,5390.97,69091.0,-18581.59,414.35,-17854.55,-18167.24,-36021.79
2610,4536.02,11778.82,15878.2,-12390.99,-112125.82,5373.2,69026.63,-18605.54,413.93,-17923.95,-18191.61,-36115.55
2620,4530.68,11796.27,15863.36,-12339.95,-112120.33,5347.71,69136.19,-18687.92,418.65,-17786.07,-18269.27,-36055.34
