GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
5640,9985.04,24946.35,36050.67,-26997.26,-239148.38,12222.81,138508.56,-32047.16,1039.43,-44432.2,-31007.73,-75439.94
5650,10047.57,25057.38,36043.69,-27063.67,-239548.32,12209.08,138641.31,-31957.17,1036.42,-44612.96,-30920.75,-75533.71
5660,10051.05,25033.21,36057.48,-27131.3,-239249.81,12176.91,138381.95,-31936.22,1026.55,-44680.5,-30909.67,-75590.18
5670,9979.42,25067.51,36019.09,-26984.53,-239309.22,12216.9,138609.22,-32069.21,1044.84,-44401.61,-31024.37,-75425.99
5680,9972.37,24950.4,36006.23,-27015.83,-239124.45,12178.93,138360.46,-32013.98,1042.44,-44671.88,-30971.53,-75643.42
5690,9901.52,25013.62,35940.26,-27061.71,-239447.91,12262.81,138627.04,-31777.01,1035.25,-44764.36,-30741.76,-75506.12
5700,10045.72,24886.28,36035.62,-27094.85,-239350.36,12303.45,138766.75,-32122.44,1038.17,-44407.39,-31084.27,-75491.66
5710,9846.27,25025.32,36022.53,-27100.96,-239203.71,12300.93,138633.27,-32125.78,1042.37,-44476.36,-31083.41,-75559.76
5720,9916.05,24843.44,35987.16,-27213.9,-239147.93,12318.97,138807.36,-32273.88,1034.73,-44488.86,-31239.15,-75728.0
5730,9987.89,25197.8,36035.85,-27066.1,-239181.77,12246.71,138537.31,-31967.79,1032.88,-44242.32,-30934.91,-75177.23
5740,9963.61,25250.3,36150.8,-27178.66,-239291.49,12258.76,138519.88,-31962.01,1034.93,-44326.8,-30927.08,-75253.88
5750,9849.54,25103.67,36087.58,-27143.54,-239286.9,12248.55,138741.86,-32142.56,1033.02,-44399.24,-31109.54,-75508.79
5760,10071.5,25163.3,36004.89,-27103.13,-239306.9,12221.0,138737.44,-32042.82,1029.74,-44211.9,-31013.07,-75224.97
